736724253081,8435269632,728288983449
736724253081,8435400704,728288852377
736724253081,8435466240,728288786841
736724253081,8439726080,728284527001
736724253081,8439857152,728284395929
736724253081,8439857152,728284395929
736724253081,8626831360,728097421721
736724253081,8851816448,727872436633
736724253081,8856010752,727868242329
736724253081,8866496512,727857756569
736724253081,8866496512,727857756569
736724253081,8876982272,727847270809
736724253081,9036890112,727687362969
736724253081,9146335232,727577917849
736724253081,9268363264,727455889817
736724253081,9268363264,727455889817
736724253081,9270460416,727453792665
736724253081,9271508992,727452744089
736724253081,9709551616,727014701465
736724253081,9709551616,727014701465
736724253081,9709551616,727014701465
736724253081,9709551616,727014701465
736724253081,9709551616,727014701465
736724253081,9717415936,727006837145
736724253081,9846128640,726878124441
736724253081,12877299712,723846953369
736724253081,14334427136,722389825945
736724253081,16549871616,720174381465
736724253081,22095593472,714628659609
736724253081,28064350208,708659902873
736724253081,29205200896,707519052185
738871736729,31073763328,707797973401
738871736729,35546988544,703324748185
738871736729,36706713600,702165023129
738871736729,38492438528,700379298201
738871736729,42597613568,696274123161
738871736729,43782504448,695089232281
738871736729,45622755328,693248981401
738871736729,49698570240,689173166489
738871736729,50799575040,688072161689
738871736729,52474150912,686397585817
738871736729,56602394624,682269342105
738871736729,57764216832,681107519897
738871736729,59532115968,679339620761
738871736729,63598493696,675273243033
738871736729,64930185216,673941551513
738871736729,66896265216,671975471513
738871736729,71311818752,667559917977
738871736729,72628830208,666242906521
738871736729,74572890112,664298846617
738871736729,79155167232,659716569497
738871736729,80411361280,658460375449
738871736729,82167726080,656704010649
738871736729,86344204288,652527532441
738871736729,87575232512,651296504217
738871736729,93663264768,645208471961
738871736729,94785241088,644086495641
738871736729,96526925824,642344810905
738871736729,100856496128,638015240601
738871736729,102108495872,636763240857
738871736729,103990689792,634881046937
738871736729,108427214848,630444521881
738871736729,109710671872,629161064857
738871736729,111608594432,627263142297
738871736729,116090208256,622781528473
738871736729,117354790912,621516945817
738871736729,119289413632,619582323097
738871736729,123845476352,615026260377
738871736729,125160390656,613711346073
738871736729,127126470656,611745266073
738871736729,132865327104,606006409625
738871736729,134707675136,604164061593
738871736729,138932387840,599939348889
738871736729,140142444544,598729292185
738871736729,141963821056,596907915673
738871736729,146234671104,592637065625
738871736729,147492962304,591378774425
738871736729,149346844672,589524892057
738871736729,153562120192,585309616537
738871736729,154749108224,584122628505
738871736729,156611379200,582260357529
738871736729,160977649664,577894087065
738871736729,162225455104,576646281625
738871736729,164063608832,574808127897
738871736729,168397373440,570474363289
738871736729,169685024768,569186711961
738871736729,171381620736,567490115993
738871736729,175087288320,563784448409
738871736729,176274276352,562597460377
738871736729,178126061568,560745675161
738871736729,183767400448,555104336281
738871736729,185672663040,553199073689
738871736729,190107090944,548764645785
738871736729,191352799232,547518937497
738871736729,193173127168,545698609561
738871736729,197233213440,541638523289
738871736729,198422298624,540449438105
738871736729,200224800768,538646935961
738871736729,204334170112,534537566617
738871736729,205592461312,533279275417
738871736729,207440052224,531431684505
738871736729,212945076224,525926660505
738871736729,214765404160,524106332569
738871736729,218905182208,519966554521
738871736729,220211707904,518660028825
738871736729,222286839808,516584896921
738871736729,222286839808,516584896921
738871736729,227205709824,511666026905
738871736729,228629676032,510242060697
738871736729,230715293696,508156443033
738871736729,235422351360,503449385369
738871736729,236689031168,502182705561
738871736729,238612119552,500259617177
738871736729,238612119552,500259617177
738871736729,243487997952,495383738777
738871736729,244878409728,493993327001
738871736729,246896918528,491974818201
738871736729,246896918528,491974818201
738871736729,251285209088,487586527641
738871736729,252707078144,486164658585
738871736729,254766481408,484105255321
738871736729,259464101888,479407634841
738871736729,260816764928,478054971801
738871736729,262868828160,476002908569
738871736729,262868828160,476002908569
738871736729,267588468736,471283267993
738871736729,269052280832,469819455897
738871736729,271145238528,467726498201
738871736729,276031602688,462840134041
738871736729,277367488512,461504248217
738871736729,277367488512,461504248217
738871736729,279404871680,459466865049
